training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
1,22,0.0008,0,0,0
1,23,0.0009,0,0,0
1,24,0.0008,0,0,0
1,25,0.0008,0,0,0
1,26,0.0003,0,0,0
1,27,0.0005,0,0,0
1,28,0.0008,0,0,0
1,29,0.0006,0,0,0
1,30,0.0006,0,0,0
1,31,0.0007,0,0,0
1,32,0.0006,0,0,0
1,33,0.0007,0,0,0
1,34,0.0012,0,0,0
1,35,0.0007,0,0,0
1,36,0.0008,0,0,0
1,37,0.0008,0,0,0
1,38,0.0003,0,0,0
1,39,0.0014,0,0,0
1,40,0.0009,0,0,0
1,41,0.0008,0,0,0
1,42,0.0008,0,0,0
1,43,0.0008,0,0,0
1,44,0.0008,0,0,0
1,45,0.0011,0,0,0
1,46,0.0005,0,0,0
1,47,0.0007,0,0,0
1,48,0.0008,0,0,0
1,49,0.0011,0,0,0
1,50,0.0004,0,0,0
1,51,0.0008,0,0,0
1,52,0.0006,0,0,0
1,53,0.0004,0,0,0
1,54,0.0011,0,0,0
1,55,0.0006,0,0,0
1,56,0.0005,0,0,0
1,57,0.0009,0,0,0
1,58,0.0008,0,0,0
1,59,0.0010,0,0,0
1,60,0.0006,0,0,0
1,61,0.0005,0,0,0
1,62,0.0005,0,0,0
1,63,0.0004,0,0,0
1,64,0.0010,0,0,0
1,65,0.0011,0,0,0
1,66,0.0006,0,0,0
1,67,0.0006,0,0,0
1,68,0.0003,0,0,0
1,69,0.0007,0,0,0
1,70,0.0011,0,0,0
1,71,0.0007,0,0,0
1,72,0.0010,0,0,0
1,73,0.0010,0,0,0
1,74,0.0008,0,0,0
1,75,0.0006,0,0,0
1,76,0.0006,0,0,0
1,77,0.0009,0,0,0
1,78,0.0013,0,0,0
1,79,0.0008,0,0,0
1,80,0.0008,0,0,0
1,81,0.0008,0,0,0
1,82,0.0006,0,0,0
1,83,0.0009,0,0,0
1,84,0.0005,0,0,0
1,85,0.0009,0,0,0
1,86,0.0006,0,0,0
1,87,0.0007,0,0,0
1,88,0.0008,0,0,0
1,89,0.0004,0,0,0
1,90,0.0011,0,0,0
1,91,0.0008,0,0,0
1,92,0.0007,0,0,0
1,93,0.0012,0,0,0
1,94,0.0011,0,0,0
1,95,0.0010,0,0,0
1,96,0.0006,0,0,0
1,97,0.0010,0,0,0
1,98,0.0008,0,0,0
1,99,0.0008,0,0,0
1,100,0.0007,0,0,0
1,101,0.0004,0,0,0
1,102,0.0006,0,0,0
1,103,0.0008,0,0,0
1,104,0.0006,0,0,0
1,105,0.0008,0,0,0
1,106,0.0003,0,0,0
1,107,0.0009,0,0,0
1,108,0.0008,0,0,0
1,109,0.0011,0,0,0
1,110,0.0006,0,0,0
1,111,0.0008,0,0,0
1,112,0.0007,0,0,0
1,113,0.0007,0,0,0
1,114,0.0007,0,0,0
1,115,0.0008,0,0,0
1,116,0.0005,0,0,0
1,117,0.0013,0,0,0
1,118,0.0008,0,0,0
1,119,0.0007,0,0,0
2,0,0.1308,0,0,0
2,1,0.1282,0,0,0
2,2,0.1288,0,0,0
2,3,0.1255,0,0,0
2,4,0.1286,0,0,0
2,5,0.1286,0,0,0
2,6,0.1277,0,0,0
2,7,0.1279,0,0,0
2,8,0.1288,0,0,0
2,9,0.1261,0,0,0
2,10,0.1263,0,0,0
2,11,0.1278,0,0,0
2,12,0.1242,0,0,0
2,13,0.1303,0,0,0
2,14,0.1323,0,0,0
2,15,0.1273,0,0,0
2,16,0.1280,0,0,0
2,17,0.1264,0,0,0
2,18,0.1278,0,0,0
2,19,0.1264,0,0,0
2,20,0.1279,0,0,0
2,21,0.1307,0,0,0
2,22,0.1233,0,0,0
2,23,0.1292,0,0,0
2,24,0.1276,0,0,0
2,25,0.1298,0,0,0
2,26,0.1289,0,0,0
2,27,0.1273,0,0,0
2,28,0.1296,0,0,0
2,29,0.1278,0,0,0
2,30,0.1330,0,0,0
2,31,0.1253,0,0,0
2,32,0.1264,0,0,0
2,33,0.1258,0,0,0
2,34,0.1345,0,0,0
2,35,0.1283,0,0,0
2,36,0.1311,0,0,0
2,37,0.1262,0,0,0
2,38,0.1291,0,0,0
2,39,0.1290,0,0,0
2,40,0.1315,0,0,0
2,41,0.1281,0,0,0
2,42,0.1287,0,0,0
2,43,0.1273,0,0,0
2,44,0.1250,0,0,0
2,45,0.1283,0,0,0
2,46,0.1263,0,0,0
2,47,0.1266,0,0,0
2,48,0.1256,0,0,0
2,49,0.1273,0,0,0
2,50,0.1271,0,0,0
2,51,0.1250,0,0,0
2,52,0.1222,0,0,0
2,53,0.1242,0,0,0
2,54,0.1270,0,0,0
2,55,0.1292,0,0,0
2,56,0.1260,0,0,0
2,57,0.1253,0,0,0
2,58,0.1263,0,0,0
2,59,0.1308,0,0,0
2,60,0.1249,0,0,0
2,61,0.1277,0,0,0
2,62,0.1327,0,0,0
2,63,0.1261,0,0,0
2,64,0.1282,0,0,0
2,65,0.1303,0,0,0
2,66,0.1313,0,0,0
2,67,0.1253,0,0,0
2,68,0.1262,0,0,0
2,69,0.1280,0,0,0
2,70,0.1269,0,0,0
2,71,0.1258,0,0,0
2,72,0.1270,0,0,0
2,73,0.1276,0,0,0
2,74,0.1307,0,0,0
2,75,0.1298,0,0,0
2,76,0.1245,0,0,0
2,77,0.1372,0,0,0
2,78,0.1263,0,0,0
2,79,0.1315,0,0,0
2,80,0.1301,0,0,0
2,81,0.1257,0,0,0
2,82,0.1279,0,0,0
2,83,0.1239,0,0,0
2,84,0.1258,0,0,0
2,85,0.1262,0,0,0
2,86,0.1308,0,0,0
2,87,0.1273,0,0,0
2,88,0.1299,0,0,0
2,89,0.1303,0,0,0
2,90,0.1262,0,0,0
2,91,0.1258,0,0,0
2,92,0.1340,0,0,0
2,93,0.1279,0,0,0
2,94,0.1288,0,0,0
2,95,0.1258,0,0,0
2,96,0.1272,0,0,0
2,97,0.1293,0,0,0
2,98,0.1273,0,0,0
2,99,0.1219,0,0,0
2,100,0.1252,0,0,0
2,101,0.1253,0,0,0
2,102,0.1268,0,0,0
2,103,0.1280,0,0,0
2,104,0.1258,0,0,0
2,105,0.1300,0,0,0
2,106,0.1278,0,0,0
2,107,0.1271,0,0,0
2,108,0.1269,0,0,0
2,109,0.1284,0,0,0
2,110,0.1275,0,0,0
2,111,0.1290,0,0,0
2,112,0.1270,0,0,0
2,113,0.1334,0,0,0
2,114,0.1267,0,0,0
2,115,0.1302,0,0,0
2,116,0.1276,0,0,0
2,117,0.1284,0,0,0
2,118,0.1298,0,0,0
2,119,0.1306,0,0,0
3,0,0.0108,0,0,0
3,1,0.0097,0,0,0
3,2,0.0092,0,0,0
3,3,0.0089,0,0,0
3,4,0.0090,0,0,0
3,5,0.0101,0,0,0
3,6,0.0110,0,0,0
3,7,0.0092,0,0,0
3,8,0.0112,0,0,0
3,9,0.0104,0,0,0
3,10,0.0110,0,0,0
3,11,0.0092,0,0,0
3,12,0.0095,0,0,0
3,13,0.0083,0,0,0
3,14,0.0101,0,0,0
3,15,0.0103,0,0,0
3,16,0.0103,0,0,0
3,17,0.0096,0,0,0
3,18,0.0107,0,0,0
3,19,0.0106,0,0,0
3,20,0.0096,0,0,0
3,21,0.0092,0,0,0
3,22,0.0074,0,0,0
3,23,0.0089,0,0,0
3,24,0.0103,0,0,0
3,25,0.0104,0,0,0
3,26,0.0109,0,0,0
3,27,0.0101,0,0,0
3,28,0.0107,0,0,0
3,29,0.0097,0,0,0
3,30,0.0116,0,0,0
3,31,0.0107,0,0,0
3,32,0.0088,0,0,0
3,33,0.0107,0,0,0
3,34,0.0097,0,0,0
3,35,0.0102,0,0,0
3,36,0.0098,0,0,0
3,37,0.0100,0,0,0
3,38,0.0097,0,0,0
3,39,0.0098,0,0,0
3,40,0.0097,0,0,0
3,41,0.0103,0,0,0
3,42,0.0112,0,0,0
3,43,0.0093,0,0,0
3,44,0.0101,0,0,0
3,45,0.0092,0,0,0
3,46,0.0100,0,0,0
3,47,0.0101,0,0,0
3,48,0.0089,0,0,0
3,49,0.0099,0,0,0
3,50,0.0103,0,0,0
3,51,0.0097,0,0,0
3,52,0.0098,0,0,0
3,53,0.0099,0,0,0
3,54,0.0095,0,0,0
3,55,0.0097,0,0,0
3,56,0.0097,0,0,0
3,57,0.0090,0,0,0
3,58,0.0081,0,0,0
3,59,0.0096,0,0,0
3,60,0.0110,0,0,0
3,61,0.0103,0,0,0
3,62,0.0107,0,0,0
3,63,0.0107,0,0,0
3,64,0.0102,0,0,0
3,65,0.0106,0,0,0
3,66,0.0095,0,0,0
3,67,0.0110,0,0,0
3,68,0.0095,0,0,0
3,69,0.0111,0,0,0
3,70,0.0113,0,0,0
3,71,0.0080,0,0,0
3,72,0.0094,0,0,0
3,73,0.0111,0,0,0
3,74,0.0092,0,0,0
3,75,0.0077,0,0,0
3,76,0.0097,0,0,0
3,77,0.0103,0,0,0
3,78,0.0109,0,0,0
3,79,0.0094,0,0,0
3,80,0.0099,0,0,0
3,81,0.0098,0,0,0
3,82,0.0103,0,0,0
3,83,0.0090,0,0,0
3,84,0.0090,0,0,0
3,85,0.0092,0,0,0
3,86,0.0093,0,0,0
3,87,0.0096,0,0,0
3,88,0.0093,0,0,0
3,89,0.0094,0,0,0
3,90,0.0116,0,0,0
3,91,0.0104,0,0,0
3,92,0.0104,0,0,0
3,93,0.0097,0,0,0
3,94,0.0107,0,0,0
3,95,0.0118,0,0,0
3,96,0.0097,0,0,0
3,97,0.0105,0,0,0
3,98,0.0095,0,0,0
3,99,0.0099,0,0,0
3,100,0.0100,0,0,0
3,101,0.0102,0,0,0
3,102,0.0107,0,0,0
3,103,0.0099,0,0,0
3,104,0.0109,0,0,0
3,105,0.0085,0,0,0
3,106,0.0088,0,0,0
3,107,0.0094,0,0,0
3,108,0.0098,0,0,0
3,109,0.0107,0,0,0
3,110,0.0092,0,0,0
3,111,0.0110,0,0,0
3,112,0.0115,0,0,0
3,113,0.0112,0,0,0
3,114,0.0102,0,0,0
3,115,0.0093,0,0,0
3,116,0.0111,0,0,0
3,117,0.0090,0,0,0
3,118,0.0100,0,0,0
3,119,0.0092,0,0,0
4,0,0.2982,0,0,0
4,1,0.3045,0,0,0
4,2,0.2978,0,0,0
4,3,0.3084,0,0,0
4,4,0.3018,0,0,0
4,5,0.3086,0,0,0
4,6,0.3008,0,0,0
4,7,0.3032,0,0,0
4,8,0.3010,0,0,0
4,9,0.3066,0,0,0
4,10,0.3014,0,0,0
4,11,0.3001,0,0,0
4,12,0.3032,0,0,0
4,13,0.3012,0,0,0
4,14,0.3018,0,0,0
4,15,0.3067,0,0,0
4,16,0.3028,0,0,0
4,17,0.3021,0,0,0
4,18,0.2989,0,0,0
4,19,0.3025,0,0,0
4,20,0.3060,0,0,0
4,21,0.3051,0,0,0
4,22,0.3018,0,0,0
4,23,0.3049,0,0,0
4,24,0.3064,0,0,0
4,25,0.3012,0,0,0
4,26,0.3018,0,0,0
4,27,0.3113,0,0,0
4,28,0.2998,0,0,0
4,29,0.3024,0,0,0
4,30,0.2968,0,0,0
4,31,0.3063,0,0,0
4,32,0.3048,0,0,0
4,33,0.3058,0,0,0
4,34,0.2996,0,0,0
4,35,0.2988,0,0,0
4,36,0.3033,0,0,0
4,37,0.3013,0,0,0
4,38,0.2986,0,0,0
4,39,0.3009,0,0,0
4,40,0.3024,0,0,0
4,41,0.3002,0,0,0
4,42,0.2999,0,0,0
4,43,0.3009,0,0,0
4,44,0.3010,0,0,0
4,45,0.3113,0,0,0
4,46,0.3088,0,0,0
4,47,0.2993,0,0,0
4,48,0.3066,0,0,0
4,49,0.3016,0,0,0
4,50,0.3068,0,0,0
4,51,0.3023,0,0,0
4,52,0.3053,0,0,0
4,53,0.2977,0,0,0
4,54,0.3038,0,0,0
4,55,0.3047,0,0,0
4,56,0.3059,0,0,0
4,57,0.3025,0,0,0
4,58,0.3009,0,0,0
4,59,0.3055,0,0,0
4,60,0.3091,0,0,0
4,61,0.3072,0,0,0
4,62,0.3041,0,0,0
4,63,0.3022,0,0,0
4,64,0.3007,0,0,0
4,65,0.3065,0,0,0
4,66,0.2982,0,0,0
4,67,0.2984,0,0,0
4,68,0.3082,0,0,0
4,69,0.3043,0,0,0
4,70,0.3051,0,0,0
4,71,0.2978,0,0,0
4,72,0.2985,0,0,0
4,73,0.3043,0,0,0
4,74,0.3070,0,0,0
4,75,0.3004,0,0,0
4,76,0.3033,0,0,0
4,77,0.3010,0,0,0
4,78,0.3044,0,0,0
4,79,0.3053,0,0,0
4,80,0.3042,0,0,0
4,81,0.2974,0,0,0
4,82,0.3023,0,0,0
4,83,0.3118,0,0,0
4,84,0.3018,0,0,0
4,85,0.3093,0,0,0
4,86,0.3010,0,0,0
4,87,0.3056,0,0,0
4,88,0.3054,0,0,0
4,89,0.2991,0,0,0
4,90,0.3096,0,0,0
4,91,0.3050,0,0,0
4,92,0.3040,0,0,0
4,93,0.3048,0,0,0
4,94,0.3053,0,0,0
4,95,0.3031,0,0,0
4,96,0.3022,0,0,0
4,97,0.3041,0,0,0
4,98,0.2998,0,0,0
4,99,0.3018,0,0,0
4,100,0.3055,0,0,0
4,101,0.3068,0,0,0
4,102,0.3041,0,0,0
4,103,0.2966,0,0,0
4,104,0.3048,0,0,0
4,105,0.2998,0,0,0
4,106,0.3041,0,0,0
4,107,0.3055,0,0,0
4,108,0.3048,0,0,0
4,109,0.3015,0,0,0
4,110,0.3031,0,0,0
4,111,0.3092,0,0,0
4,112,0.3074,0,0,0
4,113,0.2998,0,0,0
4,114,0.3073,0,0,0
4,115,0.2991,0,0,0
4,116,0.3038,0,0,0
4,117,0.3037,0,0,0
4,118,0.3074,0,0,0
4,119,0.3027,0,0,0
